QF4: hspd=20.3371, x=3307.4287, y=1610.8794, x_hex=0x454eb6dc, y_hex=0x44c95c24, type=overlap
QF4: hspd=20.337, x=3307.4287, y=1610.8794, x_hex=0x454eb6dc, y_hex=0x44c95c24, type=overlap
QF4: hspd=20.3164, x=3307.416, y=1610.8545, x_hex=0x454eb6a8, y_hex=0x44c95b58, type=overlap
QF4: hspd=20.3163, x=3307.416, y=1610.8545, x_hex=0x454eb6a8, y_hex=0x44c95b58, type=overlap
QF4: hspd=20.3162, x=3307.416, y=1610.8545, x_hex=0x454eb6a8, y_hex=0x44c95b58, type=overlap
QF4: hspd=20.3161, x=3307.416, y=1610.8545, x_hex=0x454eb6a8, y_hex=0x44c95b58, type=overlap
QF4: hspd=20.316, x=3307.416, y=1610.8545, x_hex=0x454eb6a8, y_hex=0x44c95b58, type=overlap
QF4: hspd=20.3159, x=3307.416, y=1610.8545, x_hex=0x454eb6a8, y_hex=0x44c95b58, type=overlap
QF4: hspd=20.3158, x=3307.416, y=1610.8545, x_hex=0x454eb6a8, y_hex=0x44c95b58, type=overlap
QF4: hspd=20.3157, x=3307.416, y=1610.8545, x_hex=0x454eb6a8, y_hex=0x44c95b58, type=overlap
QF4: hspd=20.3156, x=3307.416, y=1610.8545, x_hex=0x454eb6a8, y_hex=0x44c95b58, type=overlap
QF4: hspd=20.3155, x=3307.416, y=1610.8545, x_hex=0x454eb6a8, y_hex=0x44c95b58, type=overlap
QF4: hspd=20.2705, x=3307.3906, y=1610.8047, x_hex=0x454eb640, y_hex=0x44c959c0, type=overlap
QF4: hspd=20.2704, x=3307.3906, y=1610.8047, x_hex=0x454eb640, y_hex=0x44c959c0, type=overlap
QF4: hspd=20.2703, x=3307.3906, y=1610.8047, x_hex=0x454eb640, y_hex=0x44c959c0, type=overlap
QF4: hspd=20.2702, x=3307.3906, y=1610.8047, x_hex=0x454eb640, y_hex=0x44c959c0, type=overlap
QF4: hspd=20.2701, x=3307.3906, y=1610.8047, x_hex=0x454eb640, y_hex=0x44c959c0, type=overlap
QF4: hspd=20.27, x=3307.3906, y=1610.8047, x_hex=0x454eb640, y_hex=0x44c959c0, type=overlap
QF4: hspd=20.2699, x=3307.3906, y=1610.8047, x_hex=0x454eb640, y_hex=0x44c959c0, type=overlap
QF4: hspd=20.2698, x=3307.3906, y=1610.8047, x_hex=0x454eb640, y_hex=0x44c959c0, type=overlap
QF4: hspd=20.2697, x=3307.3906, y=1610.8047, x_hex=0x454eb640, y_hex=0x44c959c0, type=overlap
QF4: hspd=20.2696, x=3307.3906, y=1610.8047, x_hex=0x454eb640, y_hex=0x44c959c0, type=overlap
QF4: hspd=20.249, x=3307.378, y=1610.7798, x_hex=0x454eb60c, y_hex=0x44c958f4, type=overlap
QF4: hspd=20.2489, x=3307.378, y=1610.7798, x_hex=0x454eb60c, y_hex=0x44c958f4, type=overlap
QF4: hspd=20.2488, x=3307.378, y=1610.7798, x_hex=0x454eb60c, y_hex=0x44c958f4, type=overlap
QF4: hspd=20.2487, x=3307.378, y=1610.7798, x_hex=0x454eb60c, y_hex=0x44c958f4, type=overlap
QF4: hspd=20.2486, x=3307.378, y=1610.7798, x_hex=0x454eb60c, y_hex=0x44c958f4, type=overlap
QF4: hspd=20.2485, x=3307.378, y=1610.7798, x_hex=0x454eb60c, y_hex=0x44c958f4, type=overlap
QF4: hspd=20.2484, x=3307.378, y=1610.7798, x_hex=0x454eb60c, y_hex=0x44c958f4, type=overlap
QF4: hspd=20.2483, x=3307.378, y=1610.7798, x_hex=0x454eb60c, y_hex=0x44c958f4, type=overlap
QF4: hspd=20.2482, x=3307.378, y=1610.7798, x_hex=0x454eb60c, y_hex=0x44c958f4, type=overlap
QF4: hspd=20.2481, x=3307.378, y=1610.7798, x_hex=0x454eb60c, y_hex=0x44c958f4, type=overlap
QF4: hspd=20.248, x=3307.378, y=1610.7798, x_hex=0x454eb60c, y_hex=0x44c958f4, type=overlap
QF4: hspd=20.2479, x=3307.378, y=1610.7798, x_hex=0x454eb60c, y_hex=0x44c958f4, type=overlap
QF4: hspd=20.2478, x=3307.378, y=1610.7798, x_hex=0x454eb60c, y_hex=0x44c958f4, type=overlap
QF4: hspd=20.2477, x=3307.378, y=1610.7798, x_hex=0x454eb60c, y_hex=0x44c958f4, type=overlap
QF4: hspd=20.2476, x=3307.378, y=1610.7798, x_hex=0x454eb60c, y_hex=0x44c958f4, type=overlap
QF4: hspd=20.2475, x=3307.378, y=1610.7798, x_hex=0x454eb60c, y_hex=0x44c958f4, type=overlap
QF4: hspd=20.2474, x=3307.378, y=1610.7798, x_hex=0x454eb60c, y_hex=0x44c958f4, type=overlap
QF4: hspd=20.2473, x=3307.378, y=1610.7798, x_hex=0x454eb60c, y_hex=0x44c958f4, type=overlap
QF4: hspd=20.2472, x=3307.378, y=1610.7798, x_hex=0x454eb60c, y_hex=0x44c958f4, type=overlap
